# Start time|End time|Protocol|Victim IP|HoneyPot IP|Amplifier Protocol|Byte size|Packet count|Attack Count 
1568916000|1568917647|17|80.6.26.108|200.19.107.255|NTP|1094460|37740|1 
1568916000|1568916760|17|77.171.190.20|200.19.107.238|NTP|489607|16883|2 
1568916000|1568917072|17|5.108.147.91|200.19.107.255|NTP|676425|23325|3 
1568916000|1568919599|17|86.2.41.130|200.19.107.255|NTP|2543909|87721|4 
1568916000|1568916017|17|150.138.151.12|200.19.107.238|QOTD|3741|129|5 
1568916000|1568917647|17|80.6.26.108|200.19.107.238|NTP|1094402|37738|1 
1568916000|1568919599|17|86.2.41.130|200.19.107.238|NTP|2541154|87626|4 
1568916000|1568917072|17|5.108.147.91|200.19.107.238|NTP|676860|23340|3 
1568916000|1568916760|17|77.171.190.20|200.19.107.255|NTP|491405|16945|2 
1568916000|1568917154|17|90.249.201.74|200.19.107.255|NTP|482908|16652|6 
1568916000|1568917154|17|90.249.201.74|200.19.107.238|NTP|483662|16678|6 
1568916293|1568916580|17|173.91.13.248|200.19.107.255|NTP|190762|6578|7 
1568916293|1568916580|17|173.91.13.248|200.19.107.238|NTP|191023|6587|7 
1568916806|1568919599|17|173.91.13.248|200.19.107.255|NTP|1882158|64902|8 
1568916806|1568919599|17|173.91.13.248|200.19.107.238|NTP|1882332|64908|8 
1568916899|1568916956|17|47.111.62.174|200.19.107.238|CHARGEN|1326676|1646|9 
1568917098|1568917116|17|66.150.164.100|200.19.107.255|NTP|12151|419|10 
1568917098|1568917116|17|66.150.164.100|200.19.107.238|NTP|12151|419|10 
1568918990|1568919599|17|71.37.200.37|200.19.107.255|NTP|200303|6907|11 
1568918990|1568919599|17|71.37.200.37|200.19.107.238|NTP|200303|6907|11 
