Start time|End time|Protocol|Source IP|Destination IP|Source Port|Destination Port|Byte size|Packet count|Attack 
1568919228828356|1568919288777808|17|86.2.41.130|64340|200.19.107.238|19|18821|649|True
1568919228790804|1568919288742783|17|86.2.41.130|64340|200.19.107.255|19|19111|659|True
1568919228610437|1568919288543682|17|86.2.41.130|5642|200.19.107.255|19|20532|708|True
1568919228472916|1568919288421712|17|86.2.41.130|5642|200.19.107.238|19|20590|710|True
1568919208126328|1568919268080974|17|173.91.13.248|4040|200.19.107.238|19|20822|718|True
1568919208020059|1568919267957828|17|173.91.13.248|23516|200.19.107.238|19|20068|692|True
1568919207931257|1568919267856447|17|173.91.13.248|4040|200.19.107.255|19|20793|717|True
1568919207917264|1568919267915919|17|173.91.13.248|23516|200.19.107.255|19|19952|688|True
1568919170260295|1568919230248055|17|71.37.200.37|33160|200.19.107.238|19|19256|664|True
1568919170224942|1568919230223552|17|71.37.200.37|33160|200.19.107.255|19|19198|662|True
1568919168744671|1568919228736376|17|86.2.41.130|64340|200.19.107.238|19|19691|679|True
1568919168718094|1568919228696707|17|86.2.41.130|64340|200.19.107.255|19|19633|677|True
1568919168598022|1568919228530677|17|86.2.41.130|5642|200.19.107.255|19|21199|731|True
1568919168454874|1568919228391864|17|86.2.41.130|5642|200.19.107.238|19|21286|734|True
1568919148104324|1568919207953198|17|173.91.13.248|4040|200.19.107.238|19|21286|734|True
1568919148004987|1568919207939984|17|173.91.13.248|23516|200.19.107.238|19|19517|673|True
1568919147915740|1568919207845664|17|173.91.13.248|4040|200.19.107.255|19|21315|735|True
1568919147884039|1568919207837481|17|173.91.13.248|23516|200.19.107.255|19|19459|671|True
1568919110247222|1568919170169134|17|71.37.200.37|33160|200.19.107.238|19|19285|665|True
1568919110222285|1568919170136284|17|71.37.200.37|33160|200.19.107.255|19|19227|663|True
1568919108685855|1568919168658196|17|86.2.41.130|64340|200.19.107.238|19|19517|673|True
1568919108661308|1568919168628316|17|86.2.41.130|64340|200.19.107.255|19|19517|673|True
1568919108539018|1568919168513232|17|86.2.41.130|5642|200.19.107.255|19|21402|738|True
1568919108413583|1568919168376071|17|86.2.41.130|5642|200.19.107.238|19|21402|738|True
1568919088089183|1568919148020589|17|173.91.13.248|4040|200.19.107.238|19|21402|738|True
1568919087997121|1568919147911408|17|173.91.13.248|23516|200.19.107.238|19|19401|669|True
1568919087903089|1568919147832020|17|173.91.13.248|4040|200.19.107.255|19|21344|736|True
1568919087812538|1568919147793314|17|173.91.13.248|23516|200.19.107.255|19|19401|669|True
1568919050167273|1568919110155464|17|71.37.200.37|33160|200.19.107.238|19|19256|664|True
1568919050134838|1568919110130434|17|71.37.200.37|33160|200.19.107.255|19|19285|665|True
1568919048633854|1568919108596759|17|86.2.41.130|64340|200.19.107.238|19|19575|675|True
1568919048608924|1568919108571435|17|86.2.41.130|64340|200.19.107.255|19|19546|674|True
1568919048506300|1568919108306060|17|86.2.41.130|5642|200.19.107.255|19|21373|737|True
1568919048366018|1568919108338228|17|86.2.41.130|5642|200.19.107.238|19|21431|739|True
1568919028083266|1568919088011268|17|173.91.13.248|4040|200.19.107.238|19|21373|737|True
1568919027931420|1568919087910174|17|173.91.13.248|23516|200.19.107.238|19|19720|680|True
1568919027892446|1568919087829139|17|173.91.13.248|4040|200.19.107.255|19|21402|738|True
1568919027808788|1568919087710861|17|173.91.13.248|23516|200.19.107.255|19|19662|678|True
1568918990151694|1568918990151694|17|200.19.107.238|19|71.37.200.37|44809|1500|1|False
1568918990150707|1568918990150707|17|200.19.107.238|19|71.37.200.37|33160|1500|1|False
1568918990150388|1568919003517713|17|71.37.200.37|44809|200.19.107.238|19|4756|164|True
1568918990148413|1568919050075743|17|71.37.200.37|33160|200.19.107.238|19|19227|663|True
1568918990129524|1568918990129524|17|200.19.107.255|19|71.37.200.37|44809|1500|1|False
1568918990126257|1568918990126257|17|200.19.107.255|19|71.37.200.37|33160|1500|1|False
1568918990123405|1568919003488331|17|71.37.200.37|44809|200.19.107.255|19|4756|164|True
1568918990122429|1568919050046823|17|71.37.200.37|33160|200.19.107.255|19|19169|661|True
1568918988599018|1568919048544230|17|86.2.41.130|64340|200.19.107.238|19|19517|673|True
1568918988570557|1568919048517768|17|86.2.41.130|64340|200.19.107.255|19|19517|673|True
1568918988485870|1568919048433863|17|86.2.41.130|5642|200.19.107.255|19|21257|733|True
1568918988356882|1568919048291824|17|86.2.41.130|5642|200.19.107.238|19|21257|733|True
1568918968056186|1568919027998964|17|173.91.13.248|4040|200.19.107.238|19|21257|733|True
1568918967881367|1568919027833952|17|173.91.13.248|23516|200.19.107.238|19|19314|666|True
1568918967864047|1568919027809399|17|173.91.13.248|4040|200.19.107.255|19|21199|731|True
1568918967764800|1568919027711568|17|173.91.13.248|23516|200.19.107.255|19|19343|667|True
1568918928547392|1568918988510112|17|86.2.41.130|64340|200.19.107.238|19|19140|660|True
1568918928521513|1568918988478809|17|86.2.41.130|64340|200.19.107.255|19|19169|661|True
1568918928466981|1568918988430898|17|86.2.41.130|5642|200.19.107.255|19|21286|734|True
1568918928273572|1568918988271606|17|86.2.41.130|5642|200.19.107.238|19|21315|735|True
1568918907973412|1568918967971027|17|173.91.13.248|4040|200.19.107.238|19|21257|733|True
1568918907868148|1568918967789844|17|173.91.13.248|23516|200.19.107.238|19|19546|674|True
1568918907862678|1568918967778492|17|173.91.13.248|4040|200.19.107.255|19|21286|734|True
1568918907751268|1568918967673529|17|173.91.13.248|23516|200.19.107.255|19|19546|674|True
1568918868476576|1568918928458838|17|86.2.41.130|64340|200.19.107.238|19|19314|666|True
1568918868447897|1568918928421878|17|86.2.41.130|5642|200.19.107.255|19|21315|735|True
1568918868444538|1568918928428809|17|86.2.41.130|64340|200.19.107.255|19|19343|667|True
1568918868269294|1568918928164249|17|86.2.41.130|5642|200.19.107.238|19|21286|734|True
1568918847942989|1568918907889526|17|173.91.13.248|4040|200.19.107.238|19|21344|736|True
1568918847835947|1568918907782600|17|173.91.13.248|4040|200.19.107.255|19|21315|735|True
1568918847790537|1568918907784893|17|173.91.13.248|23516|200.19.107.238|19|19749|681|True
1568918847674285|1568918907668246|17|173.91.13.248|23516|200.19.107.255|19|19720|680|True
1568918808415622|1568918868241630|17|86.2.41.130|64340|200.19.107.255|19|19198|662|True
1568918808414183|1568918868326786|17|86.2.41.130|5642|200.19.107.255|19|21257|733|True
1568918808408254|1568918868385287|17|86.2.41.130|64340|200.19.107.238|19|19227|663|True
1568918808230725|1568918868184906|17|86.2.41.130|5642|200.19.107.238|19|21286|734|True
1568918787921803|1568918847858583|17|173.91.13.248|4040|200.19.107.238|19|21257|733|True
1568918787816811|1568918847751299|17|173.91.13.248|4040|200.19.107.255|19|21286|734|True
1568918787709305|1568918847699718|17|173.91.13.248|23516|200.19.107.238|19|19372|668|True
1568918787623413|1568918847582815|17|173.91.13.248|23516|200.19.107.255|19|19314|666|True
1568918748367758|1568918808316352|17|86.2.41.130|64340|200.19.107.238|19|19227|663|True
1568918748319109|1568918808291859|17|86.2.41.130|64340|200.19.107.255|19|19227|663|True
